,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
0, גבעת שמואל,רמת הדר,15,5.5,150,דירה,3895000
1, קרית גת,כרמי גת,1,3.0,80,דירה,1650000
2, חיפה,שדרות הצבי 37,1,5.0,130,דירה,3200000
3, אילת,משעול המערב 6,2,4.0,99,דירה,1650000
5, שדרות,משעול פינס 5,0,4.0,270,דירת גן,1550000
6, בני ברק,עמק יזרעאל 7,3,5.0,117,דירה,2650000
7, חיפה,ליאון בלום 56,6,4.0,100,דירה,1950000
8, אשקלון,אדמונד דה רוטשילד 15,10,5.0,128,דירה,2450000
9, קרית ביאליק,חביבה רייק 5,2,4.0,89,דירה,1450000
10, בת ים,ישראל בן ציון 19,1,3.0,71,דירה,1700000
11, אילת,דרך התבלינים 16,1,4.0,130,דופלקס,2750000
12, תל אביב יפו,שקד 15,7,3.0,90,דירה,2590000
13, רחובות,חיים וייצמן 36,4,3.0,80,דירה,1850000
14, אשקלון,שדרות עמק חפר 61,2,4.0,112,דירה,1850000
15, קרית אתא,שדרות המגינים 5,9,4.0,130,דירה,1900000
16, חדרה,אחד העם 15,1,5.0,140,דירה,2500000
17, נהריה,המעגן 13,8,5.5,270,גג/פנטהאוז,4500000
18, אשקלון,יעקב מרידור 2,6,5.0,142,דירה,2290000
19, באר שבע,יוסף בורג 10,3,4.0,136,דירה,1700000
20, עכו,אברהם בן שושן 3,1,5.0,150,דופלקס,1500000
21, אשקלון,אורט,10,5.0,166,גג/פנטהאוז,2750000
22, תל אביב יפו,אלנבי,2,3.0,70,דירה,3000000
23, ראשון לציון,קדמת ראשון,3,6.0,125,דירה,2750000
24, פתח תקווה,הדר המושבות החדשה / אם המושבות החדשה,2,5.0,124,דירה,3090000
25, מודיעין מכבים רעות,חרצית,2,3.0,81,דירה,2200000
26, קרית גת,התותחנים 10,3,4.0,92,דירה,1580000
27, באר שבע,בצלאל 29,6,4.0,124,דירה,1190000
28, טירת כרמל,"הפלמ""ח",0,5.0,340,דירת גן,2800000
29, טירת כרמל,"הפלמ""ח",3,3.5,92,דירה,1495000
30, רחובות,הר הצופים 17,2,3.0,68,דירה,2050000
31, קרית מוצקין,הרב קוק,3,4.0,105,דירה,1180000
32, תל אביב יפו,הצפון הישן - צפון,7,5.5,195,גג/פנטהאוז,10390000
33, תל אביב יפו,יהודה הימית,3,3.5,120,דירה,3950000
34, רחובות,א' / צפון מזרח העיר,3,3.0,80,דירה,1670000
35, בני ברק,בנימין מינץ 5,3,3.0,66,דירה,1750000
36, הרצליה,הכינור,4,3.0,88,דירה,3950000
37, נצרת עילית / נוף הגליל,אורה,0,5.0,112,דירת גן,2600000
38, ירושלים,אבנר חי שאקי,1,4.0,100,דירת גן,2900000
39, בית שמש,ארלוזורוב,2,3.0,60,דירה,1750000
40, ראשון לציון,ראשון לציון,9,5.0,195,גג/פנטהאוז,5700000
41, כפר יונה,שייקה אופיר,1,5.0,132,דירה,3050000
60, כפר סבא,ירושלים,7,5.0,150,גג/פנטהאוז,4800000
78, באר שבע,הגדודים,0,3.0,90,דירה,1335000
79, תל אביב יפו,נאות אפקה ב',8,5.0,240,גג/פנטהאוז,9625000
80, ירושלים,עמנואל זיסמן,5,4.0,95,דירה,2520000
81, חיפה,כבירים 39,3,4.0,140,גג/פנטהאוז,2090000
82, נהריה,פינסקר 7,8,4.0,120,גג/פנטהאוז,2400000
83, אשקלון,אלי כהן 57,3,3.0,74,דירה,1270000
84, חדרה,גורדון 3,2,5.0,150,דירה,2499000
85, תל אביב יפו,שתולים 57,5,3.0,102,דירה,3250000
86, באר שבע,מקור חיים 12,3,4.0,120,דירה,1460000
87, תל אביב יפו,מנדלי מוכר ספרים 14,4,4.0,103,דירה,6100000
88, חיפה,דרך העצמאות 41,4,3.0,80,דירה,1790000
89, נס ציונה,האימהות 10,1,3.0,98,דירה,2795000
90, ראשון לציון,הכובש 21,7,5.0,240,גג/פנטהאוז,3920000
91, תל אביב יפו,רמברנדט 34,1,3.0,75,דירה,4900000
92, ראשון לציון,גבים 5,0,5.0,332,דירת גן,6600000
93, אור יהודה,שדרות בן גוריון 19,3,6.5,216,גג/פנטהאוז,3790000
94, רחובות,יעקב תמרי 10,3,4.0,106,דירה,2560000
95, אשדוד,העצמאות 37,5,5.0,175,דירה,2890000
96, נתיבות,קטיף 62,5,4.0,120,דירה,1550000
97, נס ציונה,שאול המלך 4,5,4.0,115,דירה,3450000
98, בני ברק,משה פרדו 3,5,7.0,230,גג/פנטהאוז,4400000
100, תל אביב יפו,ניסים אלוני,5,4.0,105,דירה,5650000
101, קרית אונו,קרית אונו,6,4.5,118,דירה,3400000
102, ראש העין,שייקה אופיר 13,4,4.0,101,דירה,2690000
103, תל אביב יפו,דקל,3,4.0,80,דירה,2800000
104, צור יצחק,צור יצחק,0,5.0,150,דירת גן,4020000
105, תל אביב יפו,מיצקביץ',1,3.0,67,דירה,2490000
106, תל אביב יפו,הדר יוסף,7,4.5,105,דירה,4900000
107, פתח תקווה,"חזון אי""ש 14",9,5.0,195,דופלקס,3395000
108, ירושלים,המייסדים,4,6.0,144,דופלקס,4900000
109, תל אביב יפו,"לב תל אביב, לב העיר צפון",3,5.0,116,דירה,6550000
110, מגדל העמק,רמת אשכול,0,5.0,150,דירת גן,1700000
111, רמת גן,הררי,0,7.0,130,דירת גן,3790000
112, תל אביב יפו,נווה אביבים,4,4.5,145,דירה,7300000
113, נתניה,קרית השרון,6,5.0,126,דירה,3280000
114, כרמיאל,חטיבת עציוני,-3,4.0,140,דירה,1750000
115, קרית אתא,אביגדור עשת,1,3.0,85,דירה,1250000
116, אשקלון,ציפורי,6,3.0,88,דירה,1590000
117, רמת גן,שכונת הראשונים,6,4.0,104,גג/פנטהאוז,4600000
118, תל אביב יפו,מוסינזון 21,0,3.0,201,דירת גן,6200000
119, יהוד מונוסון,ליבת העיר,1,4.0,93,דירה,2150000
120, גבעתיים,המעלות 7,3,5.0,240,גג/פנטהאוז,5295000
121, טבריה,הבנים 5,3,2.0,46,דירה,1500000
122, נהריה,בלפור 40,6,5.0,130,גג/פנטהאוז,3250000
123, חולון,ארלוזורוב 40,1,4.0,98,דירה,3000000
124, אשדוד,אגס 9,18,5.0,375,גג/פנטהאוז,6500000
125, אילת,דודאים 10,3,6.0,170,דירה,2850000
126, תל אביב יפו,ענתות 35,4,4.0,110,דירה,4400000
127, נתיבות,קטיף 8,3,5.0,120,דירה,1780000
128, תל אביב יפו,שדרות מסריק 1,1,2.0,52,דירה,3700000
129, בת ים,"מ""ג 11",1,3.0,71,דירה,1895000
130, תל אביב יפו,קהילת פוזנן 2,1,3.0,50,דירה,3520000
131, תל אביב יפו,"אד""ם הכהן 12",2,3.0,64,דירה,4300000
132, אלעד,אבטליון 16,4,7.0,180,גג/פנטהאוז,2890000
133, כפר סבא,גאולה 26,2,4.0,110,דירה,2850000
134, לוד,בעל התניא 11,2,5.0,122,דירה,2370000
135, נתניה,הגליל 19,2,2.0,50,דירה,1650000
136, תל אביב יפו,משה ברזאני 3,6,5.0,142,דירה,7150000
